,Day,Month,Year,Latitud,Longitud,Sierra,Hierro,PIT,LC_capture,Ancho_capture,Plastron_capture,Peso_capture,lcclass,Birth_year,Release_year,release,Stage,Sex,Age_release,Age_capture,mod.ID,dup.ID,Sex_capture,Sex_stage,Sex_retro
1,14,5,1975,,,14021,1137,42026605,26.6,28.2,,2,20,1970.5,1975,1,Juvenil,Indeterminada,4.5,4.5,1,FALSE,Indeterminada,Indeterminada,Macho
2,20,2,1979,,,14021,,42026605,39.5,40,,5,30,1970.5,1975,0,Juvenil,,4.5,8.5,1,FALSE,Indeterminada,Indeterminada,Macho
5,15,5,1984,,,14021,,42026605,41.1,44,,17.5,40,1970.5,1975,0,Juvenil,,4.5,13.5,1,FALSE,Indeterminada,Indeterminada,Macho
3,11,11,1980,,,14021,,42026605,53.3,56.7,,2.5,50,1970.5,1975,0,Juvenil,,4.5,9.5,1,FALSE,Indeterminada,Indeterminada,Macho
8,24,2,1989,,,14021,,42026605,59.2,63.2,44.7,1.5,50,1970.5,1975,0,Adulta,Macho,4.5,18.5,1,FALSE,Macho,Macho,Macho
4,16,11,1981,,,14021,,42026605,60.5,62.7,,2.1,60,1970.5,1975,0,Adulta,,4.5,10.5,1,FALSE,,Macho,Macho
10,2,9,2000,-1.3742,-89.69723,,1137,42026605,63.3,67.8,47.5,26,60,1970.5,1975,0,Adulta,Hembra,4.5,29.5,1,FALSE,Hembra,Macho,Macho
11,2,6,2003,-1.3714,-89.69662,,1137,42026605,65.9,71.6,50.3,29.5,60,1970.5,1975,0,Adulta,Macho,4.5,32.5,1,FALSE,Macho,Macho,Macho
9,12,11,1991,,,14021,,42026605,71.8,76.3,53.2,17,70,1970.5,1975,0,Adulta,Hembra,4.5,20.5,1,FALSE,Hembra,Macho,Macho
6,25,10,1985,,,14021,,42026605,73.3,77.3,56.1,37,70,1970.5,1975,0,Adulta,,4.5,14.5,1,FALSE,,Macho,Macho
7,24,2,1986,,,14021,,42026605,73.4,77.2,56.9,31,70,1970.5,1975,0,Adulta,,4.5,15.5,1,FALSE,,Macho,Macho
12,14,5,1975,,,14022,1389,53635003,24.1,24.7,,1.2,20,1970.5,1975,1,Juvenil,Indeterminada,4.5,4.5,2,FALSE,Indeterminada,Indeterminada,Macho
14,20,2,1979,,,14022,,53635003,40.5,43,,9,40,1970.5,1975,0,Juvenil,,4.5,8.5,2,FALSE,Indeterminada,Indeterminada,Macho
13,21,7,1978,,,14022,,53635003,41.6,44,,7.5,40,1970.5,1975,0,Juvenil,,4.5,7.5,2,FALSE,Indeterminada,Indeterminada,Macho
16,15,11,1983,,,14022,,53635003,51.3,53.3,,7.5,50,1970.5,1975,0,Juvenil,,4.5,12.5,2,FALSE,Indeterminada,Indeterminada,Macho
18,24,2,1986,,,14022,,53635003,59.2,62.5,44.9,31.5,50,1970.5,1975,0,Adulta,,4.5,15.5,2,FALSE,,Macho,Macho
15,10,5,1982,,,14022,,53635003,59.8,60.8,,11.3,50,1970.5,1975,0,Adulta,,4.5,11.5,2,FALSE,,Macho,Macho
19,10,7,1987,,,14022,,53635003,63,66.4,47.6,0.5,60,1970.5,1975,0,Adulta,Macho,4.5,16.5,2,FALSE,Macho,Macho,Macho
17,25,10,1985,,,14022,,53635003,64,68,51.1,45,60,1970.5,1975,0,Adulta,,4.5,14.5,2,FALSE,,Macho,Macho
