TRANSECT,IGUANA,TYPE,DISTANCE
H10-H1,260,ITH,12
H10-H11,no_iguana,#N/A,#N/A
H11-H12,no_iguana,#N/A,#N/A
H11-H2,328,ITH,7.5
H12-H13,no_iguana,#N/A,#N/A
H12-H3,no_iguana,#N/A,#N/A
H13-H14,462,ITM,30
H13-H4,310,ITM,4.7
H13-H4,311,ITM,7.8
H14-H5,175,ITM,1
H15-H16,no_iguana,#N/A,#N/A
H16-H17,18,ITH,0
H17-H18,17,ITJ,0
H18-H19,14,ITM,6
H18-H19,15,ITH,3
H18-H19,16,ITJ,7
H18-H6,no_iguana,#N/A,#N/A
H19-H20,no_iguana,#N/A,#N/A
H19-H7,429,ITH,6
H19-H7,430,ITJ,3
H1-H2,493,ITM,1.5
H20-H21,no_iguana,#N/A,#N/A
H20-H8,no_iguana,#N/A,#N/A
H21-H22,11,ITM,0
H21-H22,12,ITM,2
H21-H9,no_iguana,#N/A,#N/A
H22-H10,no_iguana,#N/A,#N/A
H22-H23,9,ITM,5
H22-H23,10,ITH,8
H23-H11,326,ITJ,7
H23-H11,327,ITM,2
H23-H24,7,ITH,7
H23-H24,8,ITM,2
H24-H12,no_iguana,#N/A,#N/A
H24-H25,5,ITM,4
H25-H13,307,ITM,1.6
H25-H26,no_iguana,#N/A,#N/A
H26-H14,no_iguana,#N/A,#N/A
H26-H27,no_iguana,#N/A,#N/A
H28-H29,no_iguana,#N/A,#N/A
H29-H15,no_iguana,#N/A,#N/A
H29-H30,no_iguana,#N/A,#N/A
H2-H3,no_iguana,#N/A,#N/A
H30-H16,281,ITM,7
H30-H16,282,ITM,1.8
H30-H16,283,ITM,1.95
H30-H31,76,ITH,2
H30-H31,77,ITM,2
H31-H17,no_iguana,#N/A,#N/A
H31-H32,74,ITM,4
H32-H18,no_iguana,#N/A,#N/A
H32-H33,71,ITJ,1
H32-H33,72,ITH,2
H32-H33,73,ITH,10
H33-H19,425,ITH,3
H33-H19,428,ITH,20
H33-H19,426,ITM,2
H33-H19,427,ITM,5
H33-H34,70,ITM,1
H34-H20,391,ITM,3
H34-H20,392,ITM,1
H34-H35,64,ITM,1
H34-H35,65,ITH,20
H34-H35,67,ITM,4
H34-H35,68,ITH,1.5
H34-H35,69,ITH,6
H35-H21,348,ITM,2.7
H35-H36,63,ITH,2
H35-H36,63,ITH,2
H36-H22,259,ITH,1.5
H36-H37,61,ITM,1.5
H37-H23,325,ITJ,2.5
H37-H38,no_iguana,#N/A,#N/A
H38-H24,438,ITM,2
H38-H39,60,ITH,2
H39-H25,303,ITM,1.8
H39-H25,304,#N/A,#N/A
H39-H25,305,ITM,6
H39-H40,56,ITM,6
H39-H40,57,ITH,7
H39-H40,59,ITM,1
H3-H4,247,ITH,2
H40-H26,174,ITM,0
H41-H28,no_iguana,#N/A,#N/A
H41-H42,137,ITM,5
H41-H42,138,ITM,1
H42-H29,no_iguana,#N/A,#N/A
H42-H43,no_iguana,#N/A,#N/A
H43-H30,no_iguana,#N/A,#N/A
H43-H44,no_iguana,#N/A,#N/A
H44-H31,590,ITH,15.5
H44-H45,no_iguana,#N/A,#N/A
H45-H32,616,#N/A,#N/A
