observation_date,min_air_temp,max_air_temp,mean_air_temp,sea_temp,humidity,precipitation,sunshine_hours,clouds
12/31/1964,22.2,30.8,26.1,25.8,82,0,,4
1/1/1965,21,25.8,23.9,22.7,84,0.7,,8
1/2/1965,21.1,26.2,23.4,22.4,83,0,,3
1/3/1965,22,26.6,23.7,23.1,81,0,,7
1/4/1965,,26.6,24,23.1,79,0.3,,4
1/5/1965,22.2,26.8,24.1,23.1,84,0,,5
1/6/1965,21.5,27.1,24.1,23.3,84,0,,2
1/7/1965,21.1,26.8,24.2,23.2,83,0,,4
1/8/1965,22.1,26.8,24.1,23.2,85,1.9,,6
1/9/1965,,27.3,24.8,23.8,83,0,,6
1/10/1965,21.3,27.2,,24.1,,0.25,,
1/11/1965,21.3,26.8,24.4,24.2,84,0,,7
1/12/1965,22.2,26.6,24.4,23.8,86,0,,7
1/13/1965,22,27.7,24.8,23.8,84,0,,3
1/14/1965,22.6,27.7,24.5,24.2,88,0,,8
1/15/1965,23,26.2,24.5,22.9,88,0,,8
1/16/1965,23.6,27.8,25,23.4,84,0,,6
1/17/1965,22.2,28.1,25.4,23.8,86,0,,5
1/18/1965,22.2,27.8,25,23.6,86,0,,3
1/19/1965,23.5,28.3,25.1,24.2,85,0,,8
1/20/1965,22.4,26.2,24.2,24.1,89,0.1,,8
1/21/1965,23,28.2,25.1,24.2,86,0,,8
1/22/1965,23,28.2,25.1,23.8,85,0,,6
1/23/1965,22.5,28.6,25.4,23.6,83,0,,6
1/24/1965,21.8,28,25,24.1,80,4.6,,7
1/25/1965,23.1,28.3,25.4,23.8,85,1.2,,3
1/26/1965,22.5,27.9,25.2,24,83,0,,5
1/27/1965,22,28,24.8,24.3,82,0,,
1/28/1965,22.1,27,24.3,23.6,86,0,,5
1/29/1965,22.5,26.5,24.5,23.5,86,1,,7
1/30/1965,21.8,27.3,24.4,24.2,86,21.45,,4
1/31/1965,21,28.3,25.2,24.8,83,0,,3
2/1/1965,22,28.7,25.4,25.3,80,0,,1
2/2/1965,22,29.3,25.8,24.7,80,0,,2
2/3/1965,23.5,28.7,25.8,25.3,79,0,,2
2/4/1965,23,28.9,25.9,26.3,80,0,,4
2/5/1965,23.7,29,26.3,26.3,77,0,,4
2/6/1965,23,28.3,,25.9,,0,,5
2/7/1965,23,28.6,25.3,25.3,85,7.05,,3
2/8/1965,22.6,28.7,25.8,25.8,85,1.25,,7
2/9/1965,22.6,29,25.6,26.3,82,0.18,,2
2/10/1965,21.9,28.8,25.5,25.9,80,0,,2
