ch	age_release	length	weight	release_cohort
1000100100	5.5	24.7	1.45	2015
1100110101	5.5	26.1	1.8	2015
1100100110	5.5	23.1	0.8	2015
1100110111	5.5	32.6	1	2015
1010100100	4.5	25	1.1	2015
1110000000	7.5	35.1	3.7	2015
1100000100	6.5	27	1.6	2015
1110110111	7.5	34.4	3.8	2015
1110100000	6.5	31.9	3.2	2015
1000010100	4.5	27	1.6	2015
1110110100	4.5	24.3	1.25	2015
1100010101	5.5	26.5	1.7	2015
1010010000	5.5	23.9	1.2	2015
1100010010	7.5	33.7	2.4	2015
1110110000	7.5	27.2	1.4	2015
1000110100	4.5	25.1	1.3	2015
1010110110	5.5	24.6	1.4	2015
1110110101	4.5	25	1.25	2015
1110010000	6.5	27.2	2.7	2015
1110110111	5.5	24.1	1.2	2015
1110110000	7.5	26.3	1.2	2015
1110010100	4.5	24	1.25	2015
1000000000	6.5	31.5	2.8	2015
1110110001	7.5	27.8	1.7	2015
1110110110	7.5	33.1	3.3	2015
1010010001	4.5	24.5	1.2	2015
1000010100	6.5	22.6	1.1	2015
1010010011	6.5	28.6	2	2015
1100110110	4.5	26.1	1.5	2015
1100000011	6.5	30.1	2.3	2015
1010110010	4.5	24.8	1.3	2015
1000010110	5.5	24.5	1.15	2015
1000000000	6.5	24.5	1.3	2015
1010110100	4.5	23.6	1.2	2015
1110010110	7.5	33.5	3.2	2015
1100100110	7.5	31.5	2.5	2015
1010010110	5.5	25.1	1.15	2015
1010110010	5.5	24	1.3	2015
1010010000	6.5	27.5	2.1	2015
1010100110	6.5	26.9	1.7	2015
1110110100	6.5	24.9	1.4	2015
1110100000	7.5	29.5	2.4	2015
1110110110	5.5	25.3	1.5	2015
1010100111	5.5	26.8	1.7	2015
1110110111	5.5	26.2	1.4	2015
1010110011	5.5	26.1	1.5	2015
1110000000	7.5	33.2	3.1	2015
0001110100	5.5	26.5	1.75	2017
1110110111	7.5	34.1	3.6	2015
1010010100	6.5	28.4	2.4	2015
1110100100	7.5	30.1	2.3	2015
1110000101	7.5	33.3	3.3	2015
1110110010	7.5	31	2.7	2015
1100110111	6.5	30.3	2.6	2015
1100100111	4.5	23.6	1.3	2015
1110110101	7.5	32	2.8	2015
1010110110	7.5	24.8	1.3	2015
1010010100	6.5	27.8	2	2015
1110010000	6.5	30.5	2.7	2015
1110110100	6.5	26.2	1.5	2015
1110000110	6.5	32	3.05	2015
1110110101	5.5	24	1.2	2015
1010110000	7.5	29.2	1.9	2015
1010010101	6.5	28.8	2.25	2015
1110110001	4.5	25.5	1.3	2015
1010100000	4.5	26.6	1.6	2015
1110110011	6.5	30.1	2.4	2015
1010110111	4.5	23.9	1.2	2015
1010110101	5.5	25.9	1.6	2015
1110110111	7.5	36.3	1.2	2015
1010110101	6.5	32	3	2015
1110000000	8.5	34	3.5	2015
1110010100	4.5	25	1.2	2015
1110010010	7.5	33.5	2.8	2015
1000000000	5.5	23.2	1	2015
1110100100	5.5	25.9	1.65	2015
1110100010	6.5	30.3	2.75	2015
1110010111	6.5	31.1	2.75	2015
1000000000	5.5	25.1	1.1	2015
1110010010	7.5	31.6	2.7	2015
1010110100	5.5	23.9	1.2	2015
1010010001	7.5	18.5	7	2015
1110010001	6.5	31	2.7	2015
1100010010	6.5	29.4	2.5	2015
1110110010	7.5	33.4	3.3	2015
1110000111	7.5	34.7	3.7	2015
1110110111	4.5	25.1	1.4	2015
1110110101	5.5	24.5	1.3	2015
0001110101	5.5	26.7	1.611	2017
1110000001	6.5	26.5	1.8	2015
1110000100	7.5	28	1.8	2015
1110110111	7.5	29.8	2.3	2015
1110110100	7.5	34.5	3.7	2015
1110100100	7.5	32.3	2.6	2015
1010110010	6.5	28.5	2.3	2015
1010000000	7.5	31.7	2.7	2015
1110100000	7.5	32.7	2.7	2015
0001010101	5.5	26.4	1.669	2017
1100000011	6.5	29.5	2.1	2015
1110100010	7.5	35	3.9	2015
1010110000	7.5	23.4	1.3	2015
1010000000	5.5	27.7	1.9	2015
1110110010	6.5	31.9	2.95	2015
1010010000	5.5	27.6	1.85	2015
1000100100	6.5	28	2.1	2015
1000000010	7.5	29.1	2.1	2015
1010110111	5.5	23.9	1.2	2015
1110110101	4.5	25.4	1.5	2015
1000100000	7.5	32.9	2.8	2015
1100000000	4.5	23.5	1.15	2015
1010100000	4.5	24.8	1.3	2015
1010100100	6.5	28.3	1.85	2015
1000000101	4.5	25.5	1.55	2015
1010110110	6.5	27	1.7	2015
1000110010	4.5	25.1	1.5	2015
1110110000	7.5	34.4	3.9	2015
1000010011	5.5	24.2	1.3	2015
1000100110	5.5	25.5	1.6	2015
1010000100	6.5	30.2	2.15	2015
1010110110	9.5	22.5	0.95	2015
0001010100	5.5	26.7	1.634	2017
1000110100	6.5	26.4	2.8	2015
1000000000	4.5	25.1	1.45	2015
1110110000	7.5	35	4.3	2015
1110110110	4.5	24.1	1.2	2015
1100010110	6.5	25	1.4	2015
1110110100	6.5	29.4	2.4	2015
1010110110	4.5	25.2	1.4	2015
1110110100	7.5	35.5	3.5	2015
1000110000	4.5	24.4	1.25	2015
1110000100	5.5	24.8	1.05	2015
1010010000	5.5	28.1	2.2	2015
1110110000	10.5	33.1	2.8	2015
1110110110	5.5	29.9	0.9	2015
0001110100	5.5	26.7	1.521	2017
1010110100	4.5	26.1	1.5	2015
1010110101	7.5	30.3	2.4	2015
1010010110	7.5	30.8	2.7	2015
1100000000	5.5	28.9	2.2	2015
1110110110	4.5	25.2	1.5	2015
1110110000	4.5	24.9	1.5	2015
1010010000	6.5	23.2	1.1	2015
1110110110	4.5	25.4	1.45	2015
1010010000	7.5	29	1.8	2015
