Year,Month,Day,Date,PIT,Frecuencia,Latitud,Longitud,LC_cm
2015,8,11,8-11-2015,48036828,"150,040",-0.819466667,-90.06161667,34.8
2016,6,26,6-26-2016,48036828,"150,040",-0.81948,-90.06092,39.1
2017,6,9,6-9-2017,48036828,"150,040",-0.81957,-90.0612,42.7
2015,8,11,8-11-2015,51783790,"150,059",-0.8192,-90.06001667,
2016,6,26,6-26-2016,51783790,"150,059",-0.8194,-90.06145,38.2
2017,6,13,6-13-2017,51783790,"150,059",-0.81456,-90.07034,43
2015,8,11,8-11-2015,48073378,"150,081",-0.819266667,-90.0592,34.8
2016,6,26,6-26-2016,48073378,"150,081",-0.8194,-90.05927,40.1
2015,8,11,8-11-2015,48367880,"150,100",-0.8188,-90.05931667,31.9
2016,6,26,6-26-2016,48367880,"150,100",-0.81796,-90.05866,36
2017,6,13,6-13-2017,48367880,"150,100",-0.81784,-90.05651,40.1
2015,8,11,8-11-2015,48280279,"150,121",-0.81929,-90.06001,35
2016,6,25,6-25-2016,48280279,"150,121",-0.81957,-90.06004,40
2016,6,25,6-25-2016,48300349,"150,141",-0.82037,-90.05926,37.5
2015,8,11,8-11-2015,48345639,"150,161",-0.82075,-90.05961667,35.3
2016,6,25,6-25-2016,48345639,"150,161",-0.82037,-90.05926,39.6
2017,6,11,6-11-2017,48345639,"150,161",-0.81929,-90.05845,
2015,8,13,8-13-2015,48041550,"150,181",-0.81966,-90.06414,34.02
2015,8,12,8-12-2015,48367042,"150,201",-0.81852,-90.06689,32.5
2016,6,26,6-26-2016,48367042,"150,201",-0.82279,-90.06781,35.1
2016,6,26,6-26-2016,48027821,"150,221",-0.82005,-90.06009,39.5
2015,8,12,8-12-2015,48346033,"150,240",-0.82209,-90.06065,
2016,6,26,6-26-2016,48346033,"150,240",-0.82527,-90.06445,38.6
2017,6,9,6-9-2017,48346033,"150,240",-0.83331,-90.06055,43.3
2015,8,11,8-11-2015,48368071,"150,280",-0.82005,-90.06021667,34.5
2016,6,26,6-26-2016,48368071,"150,280",-0.81549,-90.06227,39
2017,6,11,6-11-2017,48368071,"150,280",-0.81631,-90.05991,43.5
2015,8,11,8-11-2015,48311854,"150,360",-0.81978,-90.05957,34.4
2016,6,26,6-26-2016,48311854,"150,360",-0.81986,-90.05978,39.3
2017,6,11,6-11-2017,48311854,"150,360",-0.81919,-90.05601,43
2015,8,11,8-11-2015,48328355,"150,380",-0.820016667,-90.06071667,25.3
2016,6,26,6-26-2016,48328355,"150,380",-0.8196,-90.06155,29
2017,6,13,6-13-2017,48328355,"150,380",-0.81659,-90.06694,33.7
2015,8,11,8-11-2015,48075313,"150,420",-0.81963,-90.05153,
2016,6,26,6-26-2016,48075313,"150,420",-0.81968,-90.05956,36.6
2017,6,13,6-13-2017,48075313,"150,420",-0.81144,-90.06686,39.4
2015,8,11,8-11-2015,48037325,"150,441",-0.82174,-90.06303,32.2
2016,6,26,6-26-2016,48037325,"150,441",-0.82137,-90.06264,37
2017,6,13,6-13-2017,48037325,"150,441",-0.81386,-90.06921,40.7
2015,8,11,8-11-2015,,"150,481",-0.82026,-90.05956,
2016,6,26,6-26-2016,,"150,481",-0.82032,-90.05932,38
2015,8,11,8-11-2015,48074326,"150,520",-0.82086,-90.06215,
2016,6,26,6-26-2016,48074326,"150,520",-0.8208,-90.062,35.5
2015,8,11,8-11-2015,48309561,"150,540",-0.819116667,-90.05953333,35.7
2016,6,26,6-26-2016,48309561,"150,540",-0.82412,-90.06884,40
2015,8,11,8-11-2015,48072302,"150,561",-0.824466667,-90.06076667,33.5
2016,6,25,6-25-2016,48072302,"150,561",-0.81962,-90.05814,38.1
2015,8,11,8-11-2015,48312363,"150,581",-0.81948,-90.06046,35.1
2016,6,26,6-26-2016,48312363,"150,581",-0.81948,-90.06092,39.3
2016,6,25,6-25-2016,48065632,"150,661",-0.82024,-90.06038,38.3
2015,8,11,8-11-2015,48367602,"150,681",-0.82088,-90.06026,
2016,6,25,6-25-2016,48367602,"150,681",-0.81953,-90.05968,40.8
2015,8,11,8-11-2015,48319324,"150,741",-0.82092,-90.06013,
2016,6,25,6-25-2016,48319324,"150,741",-0.82079,-90.06078,36.8
2015,8,11,8-11-2015,48280264,"150,762",-0.82147,-90.061,
2016,6,26,6-26-2016,48280264,"150,762",-0.83018,-90.06738,38.2
2017,6,9,6-9-2017,48280264,"150,762",-0.82695,-90.06362,42.4
2015,8,11,8-11-2015,48318085,"150,818",-0.82148,-90.06171,35.6
2016,6,25,6-25-2016,48318085,"150,818",-0.82209,-90.0603,39.3
2016,6,25,6-25-2016,48027821,"150,841",-0.8206,-90.05966,39.6
2017,6,9,6-9-2017,48300349,"150,141",-0.81528,-90.07108,41.2
2015,8,11,8-11-2015,48275040,"150,861",-0.82084,-90.05893,31.5
2016,6,26,6-26-2016,48275840,"150,861",-0.81777,-90.05773,35.2
2015,8,11,8-11-2015,48344016,"150,921",-0.82087,-90.06117,
2016,6,26,6-26-2016,48344016,"150,921",-0.81961,-90.06031,36.8
2015,8,11,8-11-2015,48284579,"150,981",-0.82231,-90.0601,
2016,6,25,6-25-2016,48284579,"150,981",-0.82268,-90.0592,38.6
